User_ID,Product_ID,Age,Gender,City,Occupation,Product_Category,Weather,Time_of_Day,Loyalty_Tier,Purchase_Amount,CustomerSegment,Time_Bin,Persona
U10028,P444,42,Male,Urban,Student,Toys,Snowy,Morning,Silver,73.4,4,0,Impulsive Buyer
U10029,P256,44,Male,Urban,Student,Electronics,Snowy,Afternoon,Silver,274.56,1,1,Premium Buyer
U10030,P508,59,Female,Rural,Unemployed,Home Decor,Sunny,Afternoon,Platinum,111.98,2,1,Bargain Hunter
U10031,P859,45,Female,Rural,Retired,Electronics,Rainy,Afternoon,Bronze,260.87,1,1,Premium Buyer
U10032,P716,33,Male,Urban,Unemployed,Home Decor,Snowy,Evening,Bronze,154.12,3,2,First-Time Buyer
U10033,P368,32,Male,Rural,Retired,Clothing,Snowy,Morning,Bronze,95.79,2,0,Bargain Hunter
U10034,P863,64,Female,Suburban,Retired,Electronics,Rainy,Evening,Bronze,274.92,1,2,Premium Buyer
U10035,P205,61,Male,Suburban,Student,Toys,Cloudy,Night,Silver,75.91,4,3,Impulsive Buyer
U10036,P911,20,Male,Urban,Unemployed,Clothing,Sunny,Night,Gold,92.17,5,3,Premium Buyer
U10037,P884,54,Male,Suburban,Student,Clothing,Snowy,Morning,Bronze,93.18,5,0,Premium Buyer
U10038,P339,24,Male,Urban,Professional,Toys,Cloudy,Night,New,73.57,0,3,Budget Buyer
U10039,P687,38,Male,Urban,Student,Clothing,Cloudy,Evening,Bronze,98.66,5,2,Premium Buyer
U10040,P388,26,Female,Suburban,Retired,Electronics,Cloudy,Evening,Silver,292.01,1,2,Premium Buyer
U10041,P782,56,Male,Rural,Unemployed,Groceries,Snowy,Evening,Silver,49.32,2,2,Bargain Hunter
U10042,P366,35,Male,Suburban,Professional,Groceries,Snowy,Evening,Silver,47.82,4,2,Impulsive Buyer
U10043,P703,21,Male,Rural,Professional,Home Decor,Snowy,Morning,Bronze,135.89,2,0,Bargain Hunter
U10044,P763,42,Male,Rural,Professional,Home Decor,Rainy,Afternoon,Platinum,116.6,2,1,Bargain Hunter
U10045,P698,31,Male,Urban,Professional,Electronics,Snowy,Night,Bronze,264.29,1,3,Premium Buyer
U10046,P176,26,Female,Urban,Unemployed,Toys,Sunny,Morning,Silver,75.06,4,0,Impulsive Buyer
U10047,P770,43,Female,Suburban,Retired,Electronics,Rainy,Afternoon,Platinum,224.12,1,1,Premium Buyer
U10048,P348,19,Male,Rural,Professional,Home Decor,Sunny,Morning,Gold,125.77,2,0,Bargain Hunter
U10049,P529,37,Male,Rural,Retired,Clothing,Cloudy,Night,Gold,85.54,2,3,Bargain Hunter
U10050,P904,45,Male,Suburban,Student,Electronics,Rainy,Morning,New,292.95,1,0,Premium Buyer
U10051,P654,64,Female,Suburban,Retired,Electronics,Rainy,Night,Gold,237.13,1,3,Premium Buyer
U10052,P938,24,Female,Suburban,Professional,Toys,Rainy,Morning,Silver,68.97,4,0,Impulsive Buyer
U10053,P265,61,Male,Urban,Student,Home Decor,Sunny,Morning,Bronze,146.28,3,0,First-Time Buyer
U10054,P631,25,Female,Urban,Student,Electronics,Sunny,Evening,Platinum,250.89,1,2,Premium Buyer
U10055,P440,64,Male,Suburban,Student,Clothing,Cloudy,Morning,New,102.29,5,0,Premium Buyer
U10056,P101,52,Female,Rural,Professional,Clothing,Snowy,Morning,Platinum,87.45,2,0,Bargain Hunter
U10057,P151,31,Female,Rural,Retired,Groceries,Sunny,Afternoon,New,51.14,2,1,Bargain Hunter
U10058,P196,34,Female,Urban,Unemployed,Home Decor,Cloudy,Evening,Bronze,134.67,3,2,First-Time Buyer
U10059,P737,53,Female,Suburban,Retired,Clothing,Snowy,Night,New,99.82,5,3,Premium Buyer
U10060,P370,57,Male,Rural,Professional,Toys,Rainy,Evening,Platinum,68.3,2,2,Bargain Hunter
U10061,P547,21,Female,Suburban,Professional,Home Decor,Snowy,Morning,New,144.77,0,0,Budget Buyer
U10062,P600,19,Female,Urban,Student,Clothing,Sunny,Night,Silver,94.27,5,3,Premium Buyer
U10063,P258,23,Female,Suburban,Retired,Electronics,Cloudy,Morning,Silver,285.4,1,0,Premium Buyer
U10064,P596,59,Male,Suburban,Professional,Home Decor,Rainy,Evening,Gold,138.57,0,2,Budget Buyer
U10065,P616,21,Male,Suburban,Professional,Clothing,Rainy,Evening,Gold,83.32,5,2,Premium Buyer
U10066,P132,46,Female,Suburban,Unemployed,Electronics,Snowy,Morning,New,285.57,1,0,Premium Buyer
U10067,P100,35,Female,Rural,Retired,Groceries,Snowy,Morning,Bronze,47.58,2,0,Bargain Hunter
U10068,P596,43,Female,Urban,Student,Home Decor,Sunny,Morning,Bronze,156.57,3,0,First-Time Buyer
U10069,P341,61,Female,Urban,Student,Home Decor,Rainy,Afternoon,Platinum,129.65,4,1,Impulsive Buyer
U10070,P348,51,Female,Suburban,Student,Clothing,Snowy,Evening,Gold,81.33,5,2,Premium Buyer
U10071,P637,27,Female,Urban,Retired,Groceries,Rainy,Afternoon,Gold,39.92,0,1,Budget Buyer
U10072,P954,53,Female,Rural,Professional,Toys,Cloudy,Evening,Bronze,75.65,2,2,Bargain Hunter
U10073,P903,31,Female,Urban,Professional,Clothing,Cloudy,Evening,Gold,79.32,5,2,Premium Buyer
U10074,P540,48,Male,Urban,Unemployed,Clothing,Sunny,Night,New,105.16,5,3,Premium Buyer
U10075,P101,32,Male,Rural,Unemployed,Toys,Rainy,Night,Bronze,68.96,2,3,Bargain Hunter
U10076,P285,25,Female,Urban,Professional,Toys,Snowy,Evening,Silver,68.04,4,2,Impulsive Buyer
U10077,P847,31,Male,Rural,Professional,Toys,Cloudy,Night,Silver,65.06,2,3,Bargain Hunter
U10078,P612,40,Female,Suburban,Retired,Toys,Cloudy,Evening,Silver,68.07,4,2,Impulsive Buyer
U10079,P578,57,Male,Urban,Unemployed,Toys,Sunny,Evening,Bronze,69.2,3,2,First-Time Buyer
U10080,P127,38,Male,Rural,Student,Electronics,Cloudy,Morning,New,310.41,1,0,Premium Buyer
U10081,P846,33,Female,Urban,Student,Electronics,Sunny,Night,New,304.22,1,3,Premium Buyer
U10082,P787,62,Female,Suburban,Student,Toys,Rainy,Afternoon,Bronze,71.65,3,1,First-Time Buyer
U10083,P763,35,Male,Urban,Student,Groceries,Snowy,Afternoon,Silver,42.35,4,1,Impulsive Buyer
U10084,P626,64,Female,Urban,Professional,Groceries,Rainy,Night,Gold,40.73,0,3,Budget Buyer
U10085,P852,41,Female,Rural,Professional,Toys,Rainy,Evening,Bronze,80.53,2,2,Bargain Hunter
U10086,P917,43,Female,Suburban,Retired,Electronics,Rainy,Afternoon,Gold,237.18,1,1,Premium Buyer
U10087,P305,42,Male,Urban,Student,Groceries,Snowy,Night,New,46.22,3,3,First-Time Buyer
U10088,P320,62,Female,Suburban,Professional,Electronics,Rainy,Afternoon,Bronze,285.46,1,1,Premium Buyer
U10089,P880,58,Female,Suburban,Professional,Clothing,Rainy,Morning,New,107.3,5,0,Premium Buyer
U10090,P576,46,Male,Rural,Professional,Electronics,Sunny,Evening,Silver,255.1,1,2,Premium Buyer
U10091,P138,32,Female,Urban,Student,Toys,Sunny,Morning,New,73.7,3,0,First-Time Buyer
U10092,P316,62,Female,Rural,Professional,Home Decor,Sunny,Afternoon,Gold,127.29,2,1,Bargain Hunter
U10093,P514,18,Female,Suburban,Unemployed,Toys,Snowy,Evening,New,83.71,3,2,First-Time Buyer
U10094,P155,42,Female,Suburban,Student,Clothing,Cloudy,Evening,Silver,92.13,5,2,Premium Buyer
U10095,P193,24,Male,Rural,Student,Electronics,Cloudy,Evening,Bronze,280.34,1,2,Premium Buyer
U10096,P889,26,Male,Urban,Unemployed,Groceries,Rainy,Night,Bronze,43.13,3,3,First-Time Buyer
U10097,P600,41,Female,Urban,Retired,Toys,Cloudy,Night,Silver,69.13,4,3,Impulsive Buyer
U10098,P744,18,Female,Urban,Retired,Groceries,Rainy,Evening,Bronze,51.48,0,2,Budget Buyer
U10099,P417,61,Female,Urban,Student,Electronics,Sunny,Evening,New,283.37,1,2,Premium Buyer
U10100,P960,25,Female,Urban,Student,Clothing,Rainy,Evening,Gold,86.94,5,2,Premium Buyer
U10101,P106,41,Male,Suburban,Student,Toys,Snowy,Morning,Silver,77.87,4,0,Impulsive Buyer
U10102,P974,28,Male,Urban,Unemployed,Groceries,Cloudy,Morning,New,49.88,3,0,First-Time Buyer
U10103,P835,34,Male,Urban,Professional,Toys,Rainy,Afternoon,Silver,71.23,4,1,Impulsive Buyer
U10104,P236,25,Male,Urban,Unemployed,Toys,Sunny,Evening,Bronze,70.54,3,2,First-Time Buyer
U10105,P243,52,Female,Urban,Professional,Groceries,Snowy,Evening,Platinum,43.84,4,2,Impulsive Buyer
U10106,P454,52,Male,Urban,Professional,Clothing,Rainy,Morning,Gold,79.5,5,0,Premium Buyer
U10107,P624,50,Female,Suburban,Retired,Toys,Rainy,Afternoon,Silver,71.73,4,1,Impulsive Buyer
U10108,P866,22,Male,Urban,Unemployed,Clothing,Rainy,Afternoon,New,93.43,5,1,Premium Buyer
U10109,P361,59,Female,Rural,Unemployed,Clothing,Snowy,Evening,Platinum,77.57,2,2,Bargain Hunter
U10110,P239,56,Female,Urban,Student,Electronics,Rainy,Night,New,323.04,1,3,Premium Buyer
U10111,P123,58,Male,Rural,Unemployed,Groceries,Sunny,Afternoon,Silver,46.29,2,1,Bargain Hunter
U10112,P134,45,Male,Urban,Professional,Electronics,Sunny,Afternoon,Silver,243.53,1,1,Premium Buyer
U10113,P787,24,Male,Suburban,Professional,Home Decor,Sunny,Evening,Silver,147.6,4,2,Impulsive Buyer
U10114,P367,26,Female,Suburban,Unemployed,Electronics,Sunny,Evening,Gold,269.48,1,2,Premium Buyer
U10115,P376,25,Male,Rural,Retired,Toys,Snowy,Evening,Gold,74.77,2,2,Bargain Hunter
U10116,P355,29,Female,Suburban,Retired,Toys,Sunny,Morning,New,84.21,0,0,Budget Buyer
U10117,P187,51,Other,Rural,Student,Toys,Sunny,Evening,Silver,75.81,2,2,Bargain Hunter
U10118,P234,50,Female,Suburban,Student,Home Decor,Cloudy,Night,New,155.98,3,3,First-Time Buyer
U10119,P677,40,Male,Suburban,Professional,Clothing,Sunny,Night,Gold,83.7,5,3,Premium Buyer
U10120,P958,41,Female,Rural,Unemployed,Toys,Snowy,Afternoon,Gold,65.48,2,1,Bargain Hunter
U10121,P109,54,Male,Suburban,Professional,Electronics,Cloudy,Morning,Bronze,286.44,1,0,Premium Buyer
U10122,P576,52,Male,Suburban,Professional,Clothing,Cloudy,Afternoon,Gold,79.53,5,1,Premium Buyer
U10123,P735,61,Female,Urban,Unemployed,Electronics,Snowy,Morning,Silver,282.01,1,0,Premium Buyer
U10124,P439,57,Female,Rural,Professional,Electronics,Cloudy,Evening,Silver,296.86,1,2,Premium Buyer
U10125,P697,39,Male,Urban,Professional,Toys,Rainy,Afternoon,Silver,73.45,4,1,Impulsive Buyer
U10126,P622,44,Male,Suburban,Retired,Electronics,Sunny,Night,New,321.39,1,3,Premium Buyer
U10127,P875,52,Male,Urban,Student,Home Decor,Rainy,Morning,Silver,126.15,4,0,Impulsive Buyer
U10128,P510,18,Female,Urban,Retired,Clothing,Snowy,Afternoon,New,106.5,5,1,Premium Buyer
U10129,P638,52,Male,Suburban,Student,Toys,Rainy,Night,Silver,77.87,4,3,Impulsive Buyer
U10130,P139,54,Other,Suburban,Student,Toys,Snowy,Night,Silver,76.88,4,3,Impulsive Buyer
U10131,P529,64,Female,Urban,Student,Electronics,Rainy,Evening,Bronze,292.25,1,2,Premium Buyer
U10132,P297,31,Female,Urban,Retired,Electronics,Sunny,Morning,Bronze,309.3,1,0,Premium Buyer
U10133,P592,20,Male,Urban,Unemployed,Groceries,Snowy,Afternoon,Silver,49.15,4,1,Impulsive Buyer
U10134,P417,18,Female,Suburban,Professional,Groceries,Snowy,Night,Silver,47.84,4,3,Impulsive Buyer
U10135,P417,22,Female,Urban,Unemployed,Toys,Snowy,Morning,Gold,68.64,3,0,First-Time Buyer
U10136,P573,43,Female,Suburban,Unemployed,Toys,Cloudy,Evening,Bronze,81.1,3,2,First-Time Buyer
U10137,P740,31,Male,Suburban,Student,Electronics,Sunny,Morning,Bronze,277.7,1,0,Premium Buyer
U10138,P138,56,Male,Rural,Student,Home Decor,Cloudy,Morning,Bronze,138.13,2,0,Bargain Hunter
U10139,P294,44,Male,Urban,Retired,Home Decor,Cloudy,Afternoon,Bronze,138.17,0,1,Budget Buyer
U10140,P768,26,Female,Urban,Retired,Electronics,Sunny,Morning,Silver,253.76,1,0,Premium Buyer
U10141,P137,32,Female,Suburban,Professional,Groceries,Snowy,Evening,Silver,46.11,4,2,Impulsive Buyer
U10142,P683,32,Female,Suburban,Unemployed,Groceries,Cloudy,Night,Bronze,49.03,3,3,First-Time Buyer
U10143,P445,43,Male,Urban,Unemployed,Home Decor,Cloudy,Afternoon,Silver,144.71,4,1,Impulsive Buyer
U10144,P323,59,Male,Rural,Professional,Toys,Snowy,Night,Silver,74.8,2,3,Bargain Hunter
U10145,P236,30,Male,Urban,Student,Electronics,Sunny,Morning,Silver,285.12,1,0,Premium Buyer
U10146,P961,49,Male,Urban,Retired,Toys,Sunny,Evening,Silver,74.72,4,2,Impulsive Buyer
U10147,P265,56,Male,Urban,Professional,Groceries,Sunny,Night,New,51.97,0,3,Budget Buyer
U10148,P995,49,Female,Rural,Unemployed,Home Decor,Cloudy,Evening,Silver,130.69,2,2,Bargain Hunter
U10149,P822,21,Female,Urban,Professional,Toys,Sunny,Morning,Gold,74.34,0,0,Budget Buyer
U10150,P338,47,Female,Urban,Professional,Groceries,Sunny,Morning,Bronze,48.82,0,0,Budget Buyer
U10151,P214,54,Male,Urban,Unemployed,Groceries,Cloudy,Night,Gold,43.24,3,3,First-Time Buyer
U10152,P113,40,Male,Suburban,Unemployed,Groceries,Sunny,Afternoon,Silver,48.12,4,1,Impulsive Buyer
U10153,P333,56,Male,Rural,Retired,Toys,Rainy,Evening,Bronze,74.8,2,2,Bargain Hunter
U10154,P145,62,Female,Urban,Retired,Clothing,Sunny,Evening,New,91.93,5,2,Premium Buyer
U10155,P699,32,Male,Urban,Unemployed,Home Decor,Sunny,Evening,Bronze,135.09,3,2,First-Time Buyer
U10156,P165,60,Female,Urban,Retired,Groceries,Snowy,Morning,Gold,45.12,0,0,Budget Buyer
U10157,P570,46,Male,Suburban,Retired,Toys,Cloudy,Morning,Bronze,79.52,0,0,Budget Buyer
U10158,P271,53,Female,Urban,Retired,Electronics,Snowy,Night,Silver,249.33,1,3,Premium Buyer
U10159,P940,30,Female,Rural,Unemployed,Home Decor,Rainy,Night,Silver,123.38,2,3,Bargain Hunter
U10160,P888,49,Male,Urban,Student,Electronics,Sunny,Morning,Silver,276.58,1,0,Premium Buyer
U10161,P252,24,Female,Urban,Student,Electronics,Snowy,Afternoon,Gold,277.37,1,1,Premium Buyer
U10162,P299,39,Male,Urban,Retired,Toys,Snowy,Evening,Gold,63.58,0,2,Budget Buyer
U10163,P622,45,Female,Rural,Student,Clothing,Rainy,Evening,Silver,90.88,2,2,Bargain Hunter
U10164,P415,19,Male,Suburban,Retired,Toys,Sunny,Morning,New,84.99,0,0,Budget Buyer
U10165,P898,59,Male,Rural,Student,Toys,Snowy,Afternoon,New,80.46,2,1,Bargain Hunter
U10166,P233,62,Female,Urban,Student,Home Decor,Sunny,Afternoon,Platinum,116.43,4,1,Impulsive Buyer
U10167,P410,23,Female,Urban,Professional,Toys,Rainy,Afternoon,New,84.65,0,1,Budget Buyer
U10168,P157,45,Male,Suburban,Retired,Home Decor,Rainy,Afternoon,Gold,134.42,0,1,Budget Buyer
U10169,P325,45,Female,Suburban,Student,Groceries,Sunny,Afternoon,Silver,47.97,4,1,Impulsive Buyer
U10170,P655,61,Male,Suburban,Student,Home Decor,Rainy,Night,New,163.35,3,3,First-Time Buyer
U10171,P496,61,Male,Urban,Professional,Toys,Cloudy,Morning,Platinum,59.53,4,0,Impulsive Buyer
U10172,P194,37,Female,Urban,Student,Groceries,Snowy,Morning,Platinum,38.73,4,0,Impulsive Buyer
U10173,P140,47,Male,Urban,Professional,Groceries,Cloudy,Morning,Silver,49.37,4,0,Impulsive Buyer
U10174,P937,28,Male,Suburban,Student,Clothing,Cloudy,Evening,Bronze,96.8,5,2,Premium Buyer
U10175,P472,45,Female,Suburban,Professional,Toys,Rainy,Afternoon,Silver,74.45,4,1,Impulsive Buyer
U10176,P396,42,Male,Rural,Professional,Electronics,Rainy,Afternoon,Silver,290.74,1,1,Premium Buyer
U10177,P623,56,Female,Urban,Unemployed,Toys,Sunny,Evening,Silver,74.75,4,2,Impulsive Buyer
U10178,P184,50,Male,Rural,Retired,Electronics,Cloudy,Afternoon,Gold,264.34,1,1,Premium Buyer
U10179,P122,18,Male,Urban,Unemployed,Clothing,Snowy,Afternoon,New,92.09,5,1,Premium Buyer
U10180,P147,44,Male,Urban,Retired,Toys,Sunny,Afternoon,New,80.11,0,1,Budget Buyer
U10181,P921,30,Female,Rural,Student,Clothing,Sunny,Afternoon,Bronze,98.29,2,1,Bargain Hunter
U10182,P240,58,Female,Suburban,Retired,Electronics,Sunny,Afternoon,Bronze,302.52,1,1,Premium Buyer
U10183,P574,20,Male,Suburban,Unemployed,Home Decor,Rainy,Night,Silver,132.66,4,3,Impulsive Buyer
U10184,P494,56,Male,Suburban,Retired,Toys,Rainy,Morning,New,73.98,0,0,Budget Buyer
U10185,P407,23,Female,Urban,Unemployed,Groceries,Sunny,Night,Silver,43.79,4,3,Impulsive Buyer
U10186,P341,25,Male,Suburban,Retired,Groceries,Rainy,Afternoon,New,49.3,2,1,Bargain Hunter
U10187,P456,44,Female,Rural,Student,Clothing,Rainy,Morning,Bronze,99.77,2,0,Bargain Hunter
U10188,P335,26,Male,Urban,Student,Home Decor,Sunny,Morning,Platinum,108.47,4,0,Impulsive Buyer
U10189,P756,54,Female,Suburban,Retired,Groceries,Snowy,Morning,Gold,41.53,0,0,Budget Buyer
U10190,P933,50,Male,Suburban,Retired,Groceries,Snowy,Morning,Platinum,39.58,4,0,Impulsive Buyer
U10191,P639,59,Female,Urban,Student,Toys,Rainy,Evening,Silver,72.72,4,2,Impulsive Buyer
U10192,P266,61,Female,Urban,Retired,Groceries,Snowy,Morning,Silver,49.23,4,0,Impulsive Buyer
U10193,P755,41,Male,Urban,Professional,Electronics,Snowy,Evening,Gold,267.27,1,2,Premium Buyer
U10194,P799,32,Male,Suburban,Student,Clothing,Rainy,Evening,New,94.45,5,2,Premium Buyer
U10195,P239,49,Female,Rural,Student,Groceries,Snowy,Morning,Platinum,41.07,2,0,Bargain Hunter
U10196,P992,49,Female,Suburban,Unemployed,Toys,Rainy,Afternoon,Silver,69.78,4,1,Impulsive Buyer
U10197,P980,41,Male,Urban,Unemployed,Electronics,Cloudy,Afternoon,Silver,286.82,1,1,Premium Buyer
U10198,P142,58,Male,Suburban,Professional,Groceries,Sunny,Morning,Gold,39.7,0,0,Budget Buyer
U10199,P655,29,Female,Rural,Retired,Clothing,Snowy,Morning,Silver,83.6,2,0,Bargain Hunter
U10200,P312,56,Male,Urban,Professional,Clothing,Sunny,Evening,Gold,78.22,5,2,Premium Buyer
U10201,P607,19,Female,Rural,Retired,Clothing,Sunny,Night,Bronze,95.84,2,3,Bargain Hunter
U10202,P780,20,Male,Suburban,Unemployed,Groceries,Rainy,Evening,Silver,41.61,4,2,Impulsive Buyer
U10203,P971,54,Female,Urban,Retired,Electronics,Snowy,Afternoon,Bronze,258.88,1,1,Premium Buyer
U10204,P376,34,Female,Urban,Unemployed,Home Decor,Snowy,Night,Gold,123.23,3,3,First-Time Buyer
U10205,P790,19,Other,Suburban,Student,Clothing,Cloudy,Night,Bronze,100.67,5,3,Premium Buyer
U10206,P116,19,Male,Suburban,Student,Electronics,Snowy,Night,Gold,237.46,1,3,Premium Buyer
U10207,P475,45,Female,Rural,Retired,Toys,Snowy,Evening,Silver,69.95,2,2,Bargain Hunter
U10208,P112,40,Male,Suburban,Unemployed,Toys,Rainy,Evening,Silver,71.07,4,2,Impulsive Buyer
U10209,P330,54,Female,Urban,Professional,Electronics,Sunny,Morning,Silver,290.3,1,0,Premium Buyer
U10210,P757,49,Female,Urban,Unemployed,Toys,Cloudy,Evening,Silver,71.66,4,2,Impulsive Buyer
U10211,P342,50,Male,Suburban,Unemployed,Toys,Snowy,Evening,Silver,72.17,4,2,Impulsive Buyer
U10212,P436,18,Female,Urban,Unemployed,Clothing,Snowy,Night,Platinum,76.07,5,3,Premium Buyer
U10213,P268,36,Male,Suburban,Student,Groceries,Cloudy,Night,New,51.69,2,3,Bargain Hunter
U10214,P752,19,Female,Urban,Unemployed,Groceries,Rainy,Evening,New,45.26,3,2,First-Time Buyer
U10215,P434,61,Female,Urban,Retired,Groceries,Snowy,Afternoon,Silver,49.18,4,1,Impulsive Buyer
U10216,P255,43,Female,Urban,Student,Groceries,Snowy,Night,Gold,42.48,3,3,First-Time Buyer
U10217,P258,49,Male,Urban,Student,Electronics,Cloudy,Morning,Silver,246.34,1,0,Premium Buyer
U10218,P811,23,Male,Suburban,Student,Clothing,Sunny,Afternoon,Platinum,80.95,5,1,Premium Buyer
U10219,P512,49,Female,Urban,Unemployed,Electronics,Snowy,Night,New,300.84,1,3,Premium Buyer
U10220,P509,21,Male,Rural,Professional,Toys,Snowy,Morning,Silver,68.27,2,0,Bargain Hunter
U10221,P164,28,Male,Suburban,Unemployed,Clothing,Sunny,Night,Gold,80.05,5,3,Premium Buyer
U10222,P745,34,Male,Urban,Unemployed,Home Decor,Snowy,Morning,Platinum,114.5,3,0,First-Time Buyer
U10223,P501,55,Male,Urban,Professional,Groceries,Sunny,Night,Silver,41.67,4,3,Impulsive Buyer
U10224,P522,41,Female,Suburban,Unemployed,Toys,Rainy,Night,Bronze,76.48,3,3,First-Time Buyer
U10225,P552,22,Male,Urban,Retired,Groceries,Sunny,Evening,Platinum,43.03,4,2,Impulsive Buyer
U10226,P780,51,Female,Rural,Professional,Groceries,Sunny,Afternoon,Gold,46.1,2,1,Bargain Hunter
U10227,P270,23,Male,Suburban,Retired,Groceries,Snowy,Afternoon,Silver,49.08,4,1,Impulsive Buyer
U10228,P274,39,Male,Urban,Retired,Home Decor,Snowy,Evening,Silver,137.71,4,2,Impulsive Buyer
U10229,P642,28,Male,Suburban,Student,Toys,Cloudy,Night,Bronze,77.85,3,3,First-Time Buyer
U10230,P793,33,Male,Urban,Student,Groceries,Snowy,Afternoon,Silver,43.29,4,1,Impulsive Buyer
U10231,P761,50,Male,Urban,Professional,Groceries,Snowy,Morning,Silver,48.47,4,0,Impulsive Buyer
U10232,P352,26,Female,Rural,Unemployed,Clothing,Sunny,Morning,New,99.76,2,0,Bargain Hunter
U10233,P456,23,Male,Urban,Retired,Groceries,Rainy,Night,Gold,40.62,0,3,Budget Buyer
U10234,P263,33,Male,Suburban,Unemployed,Clothing,Snowy,Night,Silver,98.38,5,3,Premium Buyer
U10235,P224,46,Male,Rural,Retired,Toys,Sunny,Morning,Silver,74.96,2,0,Bargain Hunter
U10236,P628,20,Male,Urban,Student,Toys,Cloudy,Night,Bronze,75.46,3,3,First-Time Buyer
U10237,P513,37,Female,Urban,Student,Toys,Cloudy,Evening,New,73.1,3,2,First-Time Buyer
U10238,P881,53,Female,Urban,Student,Clothing,Rainy,Afternoon,Bronze,88.16,5,1,Premium Buyer
U10239,P368,36,Male,Urban,Professional,Home Decor,Rainy,Morning,Silver,126.8,4,0,Impulsive Buyer
U10240,P754,43,Male,Urban,Retired,Home Decor,Rainy,Evening,New,162.09,0,2,Budget Buyer
U10241,P896,20,Other,Rural,Unemployed,Groceries,Sunny,Morning,Bronze,51.98,2,0,Bargain Hunter
U10242,P504,36,Male,Rural,Retired,Toys,Snowy,Morning,Platinum,61.02,2,0,Bargain Hunter
U10243,P801,37,Female,Suburban,Unemployed,Electronics,Sunny,Night,Bronze,284.9,1,3,Premium Buyer
U10244,P673,49,Male,Urban,Unemployed,Groceries,Cloudy,Afternoon,Platinum,42.34,3,1,First-Time Buyer
U10245,P481,24,Female,Rural,Unemployed,Home Decor,Cloudy,Evening,New,146.54,2,2,Bargain Hunter
U10246,P321,58,Female,Suburban,Retired,Home Decor,Snowy,Morning,Gold,127.31,0,0,Budget Buyer
U10247,P868,50,Female,Urban,Student,Toys,Rainy,Morning,Bronze,81.89,3,0,First-Time Buyer
