User_ID,Product_ID,Age,Gender,City,Occupation,Product_Category,Weather,Time_of_Day,Loyalty_Tier,Purchase_Amount
U10112,P134,45,Male,Urban,Professional,Electronics,Sunny,Afternoon,Silver,243.53
U10113,P787,24,Male,Suburban,Professional,Home Decor,Sunny,Evening,Silver,147.6
U10114,P367,26,Female,Suburban,Unemployed,Electronics,Sunny,Evening,Gold,269.48
U10115,P376,25,Male,Rural,Retired,Toys,Snowy,Evening,Gold,74.77
U10116,P355,29,Female,Suburban,Retired,Toys,Sunny,Morning,New,84.21
U10117,P187,51,Other,Rural,Student,Toys,Sunny,Evening,Silver,75.81
U10118,P234,50,Female,Suburban,Student,Home Decor,Cloudy,Night,New,155.98
U10119,P677,40,Male,Suburban,Professional,Clothing,Sunny,Night,Gold,83.7
U10120,P958,41,Female,Rural,Unemployed,Toys,Snowy,Afternoon,Gold,65.48
U10121,P109,54,Male,Suburban,Professional,Electronics,Cloudy,Morning,Bronze,286.44
U10122,P576,52,Male,Suburban,Professional,Clothing,Cloudy,Afternoon,Gold,79.53
U10123,P735,61,Female,Urban,Unemployed,Electronics,Snowy,Morning,Silver,282.01
U10124,P439,57,Female,Rural,Professional,Electronics,Cloudy,Evening,Silver,296.86
U10125,P697,39,Male,Urban,Professional,Toys,Rainy,Afternoon,Silver,73.45
U10126,P622,44,Male,Suburban,Retired,Electronics,Sunny,Night,New,321.39
U10127,P875,52,Male,Urban,Student,Home Decor,Rainy,Morning,Silver,126.15
U10128,P510,18,Female,Urban,Retired,Clothing,Snowy,Afternoon,New,106.5
U10129,P638,52,Male,Suburban,Student,Toys,Rainy,Night,Silver,77.87
U10130,P139,54,Other,Suburban,Student,Toys,Snowy,Night,Silver,76.88
U10131,P529,64,Female,Urban,Student,Electronics,Rainy,Evening,Bronze,292.25
U10132,P297,31,Female,Urban,Retired,Electronics,Sunny,Morning,Bronze,309.3
U10133,P592,20,Male,Urban,Unemployed,Groceries,Snowy,Afternoon,Silver,49.15
U10134,P417,18,Female,Suburban,Professional,Groceries,Snowy,Night,Silver,47.84
U10135,P417,22,Female,Urban,Unemployed,Toys,Snowy,Morning,Gold,68.64
U10136,P573,43,Female,Suburban,Unemployed,Toys,Cloudy,Evening,Bronze,81.1
U10137,P740,31,Male,Suburban,Student,Electronics,Sunny,Morning,Bronze,277.7
U10138,P138,56,Male,Rural,Student,Home Decor,Cloudy,Morning,Bronze,138.13
U10139,P294,44,Male,Urban,Retired,Home Decor,Cloudy,Afternoon,Bronze,138.17
U10140,P768,26,Female,Urban,Retired,Electronics,Sunny,Morning,Silver,253.76
U10141,P137,32,Female,Suburban,Professional,Groceries,Snowy,Evening,Silver,46.11
U10142,P683,32,Female,Suburban,Unemployed,Groceries,Cloudy,Night,Bronze,49.03
U10143,P445,43,Male,Urban,Unemployed,Home Decor,Cloudy,Afternoon,Silver,144.71
U10144,P323,59,Male,Rural,Professional,Toys,Snowy,Night,Silver,74.8
U10145,P236,30,Male,Urban,Student,Electronics,Sunny,Morning,Silver,285.12
U10146,P961,49,Male,Urban,Retired,Toys,Sunny,Evening,Silver,74.72
U10147,P265,56,Male,Urban,Professional,Groceries,Sunny,Night,New,51.97
U10148,P995,49,Female,Rural,Unemployed,Home Decor,Cloudy,Evening,Silver,130.69
U10149,P822,21,Female,Urban,Professional,Toys,Sunny,Morning,Gold,74.34
U10150,P338,47,Female,Urban,Professional,Groceries,Sunny,Morning,Bronze,48.82
U10151,P214,54,Male,Urban,Unemployed,Groceries,Cloudy,Night,Gold,43.24
U10152,P113,40,Male,Suburban,Unemployed,Groceries,Sunny,Afternoon,Silver,48.12
U10153,P333,56,Male,Rural,Retired,Toys,Rainy,Evening,Bronze,74.8
U10154,P145,62,Female,Urban,Retired,Clothing,Sunny,Evening,New,91.93
U10155,P699,32,Male,Urban,Unemployed,Home Decor,Sunny,Evening,Bronze,135.09
U10156,P165,60,Female,Urban,Retired,Groceries,Snowy,Morning,Gold,45.12
U10157,P570,46,Male,Suburban,Retired,Toys,Cloudy,Morning,Bronze,79.52
U10158,P271,53,Female,Urban,Retired,Electronics,Snowy,Night,Silver,249.33
U10159,P940,30,Female,Rural,Unemployed,Home Decor,Rainy,Night,Silver,123.38
U10160,P888,49,Male,Urban,Student,Electronics,Sunny,Morning,Silver,276.58
U10161,P252,24,Female,Urban,Student,Electronics,Snowy,Afternoon,Gold,277.37
U10162,P299,39,Male,Urban,Retired,Toys,Snowy,Evening,Gold,63.58
U10163,P622,45,Female,Rural,Student,Clothing,Rainy,Evening,Silver,90.88
U10164,P415,19,Male,Suburban,Retired,Toys,Sunny,Morning,New,84.99
U10165,P898,59,Male,Rural,Student,Toys,Snowy,Afternoon,New,80.46
U10166,P233,62,Female,Urban,Student,Home Decor,Sunny,Afternoon,Platinum,116.43
U10167,P410,23,Female,Urban,Professional,Toys,Rainy,Afternoon,New,84.65
U10168,P157,45,Male,Suburban,Retired,Home Decor,Rainy,Afternoon,Gold,134.42
U10169,P325,45,Female,Suburban,Student,Groceries,Sunny,Afternoon,Silver,47.97
U10170,P655,61,Male,Suburban,Student,Home Decor,Rainy,Night,New,163.35
U10171,P496,61,Male,Urban,Professional,Toys,Cloudy,Morning,Platinum,59.53
U10172,P194,37,Female,Urban,Student,Groceries,Snowy,Morning,Platinum,38.73
U10173,P140,47,Male,Urban,Professional,Groceries,Cloudy,Morning,Silver,49.37
U10174,P937,28,Male,Suburban,Student,Clothing,Cloudy,Evening,Bronze,96.8
U10175,P472,45,Female,Suburban,Professional,Toys,Rainy,Afternoon,Silver,74.45
U10176,P396,42,Male,Rural,Professional,Electronics,Rainy,Afternoon,Silver,290.74
U10177,P623,56,Female,Urban,Unemployed,Toys,Sunny,Evening,Silver,74.75
U10178,P184,50,Male,Rural,Retired,Electronics,Cloudy,Afternoon,Gold,264.34
U10179,P122,18,Male,Urban,Unemployed,Clothing,Snowy,Afternoon,New,92.09
U10180,P147,44,Male,Urban,Retired,Toys,Sunny,Afternoon,New,80.11
U10181,P921,30,Female,Rural,Student,Clothing,Sunny,Afternoon,Bronze,98.29
U10182,P240,58,Female,Suburban,Retired,Electronics,Sunny,Afternoon,Bronze,302.52
U10183,P574,20,Male,Suburban,Unemployed,Home Decor,Rainy,Night,Silver,132.66
U10184,P494,56,Male,Suburban,Retired,Toys,Rainy,Morning,New,73.98
U10185,P407,23,Female,Urban,Unemployed,Groceries,Sunny,Night,Silver,43.79
U10186,P341,25,Male,Suburban,Retired,Groceries,Rainy,Afternoon,New,49.3
U10187,P456,44,Female,Rural,Student,Clothing,Rainy,Morning,Bronze,99.77
U10188,P335,26,Male,Urban,Student,Home Decor,Sunny,Morning,Platinum,108.47
U10189,P756,54,Female,Suburban,Retired,Groceries,Snowy,Morning,Gold,41.53
U10190,P933,50,Male,Suburban,Retired,Groceries,Snowy,Morning,Platinum,39.58
U10191,P639,59,Female,Urban,Student,Toys,Rainy,Evening,Silver,72.72
U10192,P266,61,Female,Urban,Retired,Groceries,Snowy,Morning,Silver,49.23
U10193,P755,41,Male,Urban,Professional,Electronics,Snowy,Evening,Gold,267.27
U10194,P799,32,Male,Suburban,Student,Clothing,Rainy,Evening,New,94.45
U10195,P239,49,Female,Rural,Student,Groceries,Snowy,Morning,Platinum,41.07
U10196,P992,49,Female,Suburban,Unemployed,Toys,Rainy,Afternoon,Silver,69.78
U10197,P980,41,Male,Urban,Unemployed,Electronics,Cloudy,Afternoon,Silver,286.82
U10198,P142,58,Male,Suburban,Professional,Groceries,Sunny,Morning,Gold,39.7
U10199,P655,29,Female,Rural,Retired,Clothing,Snowy,Morning,Silver,83.6
U10200,P312,56,Male,Urban,Professional,Clothing,Sunny,Evening,Gold,78.22
U10201,P607,19,Female,Rural,Retired,Clothing,Sunny,Night,Bronze,95.84
U10202,P780,20,Male,Suburban,Unemployed,Groceries,Rainy,Evening,Silver,41.61
U10203,P971,54,Female,Urban,Retired,Electronics,Snowy,Afternoon,Bronze,258.88
U10204,P376,34,Female,Urban,Unemployed,Home Decor,Snowy,Night,Gold,123.23
U10205,P790,19,Other,Suburban,Student,Clothing,Cloudy,Night,Bronze,100.67
U10206,P116,19,Male,Suburban,Student,Electronics,Snowy,Night,Gold,237.46
U10207,P475,45,Female,Rural,Retired,Toys,Snowy,Evening,Silver,69.95
U10208,P112,40,Male,Suburban,Unemployed,Toys,Rainy,Evening,Silver,71.07
U10209,P330,54,Female,Urban,Professional,Electronics,Sunny,Morning,Silver,290.3
U10210,P757,49,Female,Urban,Unemployed,Toys,Cloudy,Evening,Silver,71.66
U10211,P342,50,Male,Suburban,Unemployed,Toys,Snowy,Evening,Silver,72.17
U10212,P436,18,Female,Urban,Unemployed,Clothing,Snowy,Night,Platinum,76.07
U10213,P268,36,Male,Suburban,Student,Groceries,Cloudy,Night,New,51.69
U10214,P752,19,Female,Urban,Unemployed,Groceries,Rainy,Evening,New,45.26
U10215,P434,61,Female,Urban,Retired,Groceries,Snowy,Afternoon,Silver,49.18
U10216,P255,43,Female,Urban,Student,Groceries,Snowy,Night,Gold,42.48
U10217,P258,49,Male,Urban,Student,Electronics,Cloudy,Morning,Silver,246.34
U10218,P811,23,Male,Suburban,Student,Clothing,Sunny,Afternoon,Platinum,80.95
U10219,P512,49,Female,Urban,Unemployed,Electronics,Snowy,Night,New,300.84
U10220,P509,21,Male,Rural,Professional,Toys,Snowy,Morning,Silver,68.27
U10221,P164,28,Male,Suburban,Unemployed,Clothing,Sunny,Night,Gold,80.05
U10222,P745,34,Male,Urban,Unemployed,Home Decor,Snowy,Morning,Platinum,114.5
U10223,P501,55,Male,Urban,Professional,Groceries,Sunny,Night,Silver,41.67
U10224,P522,41,Female,Suburban,Unemployed,Toys,Rainy,Night,Bronze,76.48
U10225,P552,22,Male,Urban,Retired,Groceries,Sunny,Evening,Platinum,43.03
U10226,P780,51,Female,Rural,Professional,Groceries,Sunny,Afternoon,Gold,46.1
U10227,P270,23,Male,Suburban,Retired,Groceries,Snowy,Afternoon,Silver,49.08
U10228,P274,39,Male,Urban,Retired,Home Decor,Snowy,Evening,Silver,137.71
U10229,P642,28,Male,Suburban,Student,Toys,Cloudy,Night,Bronze,77.85
U10230,P793,33,Male,Urban,Student,Groceries,Snowy,Afternoon,Silver,43.29
U10231,P761,50,Male,Urban,Professional,Groceries,Snowy,Morning,Silver,48.47
U10232,P352,26,Female,Rural,Unemployed,Clothing,Sunny,Morning,New,99.76
U10233,P456,23,Male,Urban,Retired,Groceries,Rainy,Night,Gold,40.62
U10234,P263,33,Male,Suburban,Unemployed,Clothing,Snowy,Night,Silver,98.38
U10235,P224,46,Male,Rural,Retired,Toys,Sunny,Morning,Silver,74.96
U10236,P628,20,Male,Urban,Student,Toys,Cloudy,Night,Bronze,75.46
U10237,P513,37,Female,Urban,Student,Toys,Cloudy,Evening,New,73.1
U10238,P881,53,Female,Urban,Student,Clothing,Rainy,Afternoon,Bronze,88.16
U10239,P368,36,Male,Urban,Professional,Home Decor,Rainy,Morning,Silver,126.8
U10240,P754,43,Male,Urban,Retired,Home Decor,Rainy,Evening,New,162.09
U10241,P896,20,Other,Rural,Unemployed,Groceries,Sunny,Morning,Bronze,51.98
U10242,P504,36,Male,Rural,Retired,Toys,Snowy,Morning,Platinum,61.02
U10243,P801,37,Female,Suburban,Unemployed,Electronics,Sunny,Night,Bronze,284.9
U10244,P673,49,Male,Urban,Unemployed,Groceries,Cloudy,Afternoon,Platinum,42.34
U10245,P481,24,Female,Rural,Unemployed,Home Decor,Cloudy,Evening,New,146.54
U10246,P321,58,Female,Suburban,Retired,Home Decor,Snowy,Morning,Gold,127.31
U10247,P868,50,Female,Urban,Student,Toys,Rainy,Morning,Bronze,81.89
U10248,P799,57,Male,Urban,Professional,Clothing,Cloudy,Night,New,94.15
U10249,P140,56,Male,Urban,Professional,Groceries,Rainy,Evening,Gold,46.7
U10250,P291,35,Male,Rural,Student,Clothing,Sunny,Night,New,99.13
U10251,P563,57,Male,Suburban,Professional,Home Decor,Rainy,Night,Bronze,135.61
U10252,P545,18,Male,Suburban,Unemployed,Toys,Sunny,Evening,Silver,77.65
U10253,P397,28,Male,Suburban,Professional,Home Decor,Snowy,Afternoon,Bronze,130.43
U10254,P710,45,Female,Suburban,Retired,Toys,Rainy,Night,Bronze,78.16
U10255,P845,42,Female,Urban,Student,Electronics,Snowy,Morning,New,273.7
U10256,P332,40,Male,Suburban,Student,Clothing,Rainy,Afternoon,Gold,92.59
U10257,P681,48,Male,Rural,Student,Groceries,Cloudy,Morning,Bronze,48.83
U10258,P949,47,Other,Urban,Student,Toys,Snowy,Afternoon,New,78.37
U10259,P767,59,Female,Rural,Retired,Electronics,Rainy,Morning,New,295.46
U10260,P366,52,Female,Urban,Unemployed,Electronics,Snowy,Night,Bronze,265.91
U10261,P250,24,Male,Urban,Unemployed,Clothing,Rainy,Night,Bronze,92.34
U10262,P513,33,Male,Suburban,Unemployed,Toys,Sunny,Night,Silver,77.81
U10263,P523,43,Male,Rural,Professional,Groceries,Snowy,Evening,Platinum,42.44
U10264,P278,19,Male,Urban,Unemployed,Groceries,Cloudy,Night,New,51.61
U10265,P772,18,Female,Suburban,Professional,Groceries,Snowy,Afternoon,Silver,49.21
U10266,P256,29,Female,Urban,Retired,Home Decor,Sunny,Night,Silver,136.98
U10267,P154,22,Male,Suburban,Professional,Home Decor,Sunny,Evening,New,140.29
U10268,P974,54,Other,Urban,Unemployed,Toys,Cloudy,Morning,New,83.42
U10269,P518,49,Male,Urban,Student,Groceries,Sunny,Evening,New,50.92
U10270,P827,26,Other,Urban,Retired,Electronics,Cloudy,Afternoon,Gold,251.76
U10271,P180,58,Other,Urban,Unemployed,Groceries,Rainy,Afternoon,Gold,39.5
U10272,P625,52,Male,Urban,Unemployed,Toys,Sunny,Evening,Bronze,78.7
U10273,P645,36,Male,Suburban,Unemployed,Groceries,Rainy,Morning,Platinum,39.55
U10274,P611,33,Female,Urban,Retired,Clothing,Rainy,Night,Platinum,81.26
U10275,P308,20,Female,Urban,Student,Groceries,Sunny,Afternoon,Bronze,45.75
U10276,P113,37,Female,Urban,Student,Electronics,Cloudy,Night,Silver,251.41
U10277,P877,41,Other,Urban,Student,Toys,Cloudy,Morning,Bronze,73.87
U10278,P254,50,Female,Urban,Unemployed,Toys,Cloudy,Afternoon,Bronze,81.35
U10279,P797,41,Male,Urban,Professional,Electronics,Sunny,Morning,Gold,237.64
U10280,P799,28,Male,Urban,Unemployed,Toys,Rainy,Morning,Silver,71.59
U10281,P827,25,Female,Urban,Student,Groceries,Snowy,Evening,Bronze,45.58
U10282,P349,53,Male,Suburban,Retired,Toys,Snowy,Morning,New,87.4
U10283,P569,55,Female,Suburban,Professional,Groceries,Sunny,Afternoon,Gold,38.97
U10284,P461,57,Male,Urban,Professional,Toys,Snowy,Evening,Silver,68.33
U10285,P404,37,Male,Urban,Unemployed,Groceries,Rainy,Afternoon,New,49.5
U10286,P518,52,Male,Urban,Retired,Groceries,Snowy,Evening,New,47.47
U10287,P337,42,Female,Urban,Professional,Electronics,Cloudy,Evening,Silver,281.16
U10288,P796,52,Male,Urban,Student,Electronics,Rainy,Morning,Silver,263.03
U10289,P965,42,Female,Suburban,Unemployed,Home Decor,Sunny,Morning,Bronze,150.5
U10290,P863,46,Female,Urban,Unemployed,Electronics,Sunny,Night,New,303.08
U10291,P276,35,Female,Rural,Student,Groceries,Cloudy,Afternoon,Gold,41.88
U10292,P893,63,Female,Urban,Student,Groceries,Snowy,Afternoon,New,48.65
U10293,P447,35,Male,Suburban,Student,Toys,Sunny,Night,New,75.55
U10294,P404,19,Female,Suburban,Professional,Toys,Sunny,Morning,Silver,68.44
U10295,P174,52,Male,Urban,Retired,Home Decor,Rainy,Afternoon,Bronze,133.28
U10296,P852,33,Male,Urban,Professional,Groceries,Rainy,Afternoon,Silver,48.17
U10297,P556,58,Male,Suburban,Retired,Home Decor,Rainy,Morning,Silver,136.3
U10298,P802,53,Female,Rural,Unemployed,Groceries,Rainy,Evening,Bronze,47.34
U10299,P833,50,Female,Urban,Retired,Electronics,Sunny,Morning,New,289.34
U10300,P305,21,Female,Urban,Student,Toys,Rainy,Night,New,80.27
U10301,P300,50,Female,Urban,Professional,Home Decor,Cloudy,Afternoon,Silver,145.33
U10302,P358,31,Female,Urban,Student,Clothing,Cloudy,Evening,Gold,91.05
U10303,P767,38,Male,Rural,Unemployed,Groceries,Rainy,Night,Silver,45.89
U10304,P504,37,Female,Suburban,Professional,Electronics,Rainy,Morning,Silver,271.62
U10305,P532,25,Male,Urban,Professional,Clothing,Snowy,Evening,Bronze,89.79
U10306,P746,24,Other,Urban,Student,Electronics,Rainy,Afternoon,Gold,264.84
U10307,P297,20,Female,Urban,Professional,Electronics,Sunny,Evening,Silver,289.08
U10308,P202,34,Female,Rural,Student,Groceries,Cloudy,Afternoon,Silver,43.25
U10309,P472,50,Female,Rural,Retired,Electronics,Cloudy,Morning,Bronze,281.33
U10310,P217,29,Male,Urban,Unemployed,Home Decor,Sunny,Evening,Bronze,131.29
U10311,P260,39,Female,Urban,Student,Clothing,Rainy,Evening,Platinum,85.73
U10312,P401,39,Male,Rural,Unemployed,Electronics,Snowy,Evening,Silver,248.28
U10313,P342,63,Female,Urban,Professional,Electronics,Cloudy,Afternoon,Silver,281.03
U10314,P682,47,Female,Urban,Unemployed,Toys,Snowy,Morning,New,74.99
U10315,P887,55,Female,Urban,Unemployed,Toys,Cloudy,Morning,Bronze,79.55
U10316,P380,55,Female,Urban,Unemployed,Home Decor,Snowy,Afternoon,Gold,131.14
U10317,P781,62,Male,Urban,Professional,Toys,Cloudy,Evening,Platinum,66.44
U10318,P237,25,Male,Rural,Retired,Electronics,Snowy,Afternoon,Gold,261.93
U10319,P645,44,Female,Suburban,Retired,Electronics,Rainy,Afternoon,Silver,264.42
U10320,P630,44,Male,Urban,Retired,Clothing,Rainy,Night,Platinum,81.92
U10321,P338,51,Male,Urban,Student,Toys,Sunny,Morning,Gold,64.39
U10322,P532,38,Female,Suburban,Student,Groceries,Sunny,Afternoon,Gold,40.58
