CustomerID,LoyaltyTier,ProductID,Category,BasePrice,StockLevel,Rating,TimeOfDay,DayOfWeek,CompetitorPrice,PersonalizedPrice,ExpectedConversionRate,CustomerSegment,SegmentLabel
1775,3,27357,Toys,978.25,21,1.0,Morning,Saturday,854.14,886.85,0.9,3,Loyal Premium Buyers
9226,0,49851,Toys,831.62,85,1.6,Morning,Thursday,878.89,790.04,1.0,1,Price-Sensitive Newcomers
4152,3,48262,Home & Kitchen,662.44,66,1.9,Night,Wednesday,602.84,612.77,0.9,3,Loyal Premium Buyers
2585,0,86853,Home & Kitchen,738.64,53,2.1,Afternoon,Sunday,846.86,701.71,1.0,1,Price-Sensitive Newcomers
4943,3,68643,Electronics,937.12,21,1.6,Morning,Thursday,538.67,709.78,0.9,3,Loyal Premium Buyers
8555,0,31534,Home & Kitchen,960.15,15,2.6,Night,Tuesday,542.83,703.48,1.0,4,Impulse Shoppers
4073,3,42872,Sports,969.28,75,1.3,Evening,Monday,566.95,739.04,0.9,3,Loyal Premium Buyers
2021,2,17689,Toys,629.39,74,4.0,Evening,Monday,996.35,566.45,1.0,0,Balanced Loyalists
4843,2,79103,Home & Kitchen,390.86,82,4.2,Evening,Friday,113.35,213.02,1.0,5,Premium Deal Seekers
8989,1,96268,Home & Kitchen,141.82,23,3.3,Afternoon,Monday,807.55,141.82,0.8,2,Discount Hunters
7873,0,96310,Clothing,391.69,31,1.4,Afternoon,Wednesday,280.58,316.55,1.0,4,Impulse Shoppers
6675,3,98731,Home & Kitchen,943.53,54,4.6,Night,Monday,367.61,627.26,0.9,3,Loyal Premium Buyers
1161,0,47412,Sports,890.9,55,4.9,Morning,Wednesday,89.73,445.77,1.0,4,Impulse Shoppers
5297,2,57734,Toys,528.42,26,1.8,Evening,Wednesday,358.06,390.4,1.0,5,Premium Deal Seekers
1995,0,97793,Clothing,541.64,53,3.8,Afternoon,Friday,990.86,514.56,1.0,1,Price-Sensitive Newcomers
8629,3,79930,Electronics,315.83,66,4.4,Afternoon,Monday,403.1,306.36,0.9,3,Loyal Premium Buyers
2016,0,32228,Electronics,459.96,39,3.2,Morning,Friday,672.99,436.96,1.0,1,Price-Sensitive Newcomers
8869,3,87924,Toys,717.3,7,2.3,Evening,Thursday,129.51,436.68,0.9,3,Loyal Premium Buyers
7439,2,21319,Electronics,408.41,88,2.9,Evening,Tuesday,923.27,367.57,1.0,0,Balanced Loyalists
8892,2,16475,Sports,196.1,39,3.0,Morning,Sunday,829.47,176.49,1.0,0,Balanced Loyalists
7863,2,93694,Home & Kitchen,545.45,32,2.6,Night,Monday,392.43,414.39,1.0,5,Premium Deal Seekers
8916,1,24728,Toys,233.08,26,4.7,Night,Thursday,354.98,233.08,0.8,2,Discount Hunters
9529,2,39545,Clothing,974.54,87,4.0,Morning,Saturday,437.94,608.79,1.0,5,Premium Deal Seekers
1878,0,91686,Home & Kitchen,396.44,78,2.0,Morning,Sunday,407.25,376.62,1.0,4,Impulse Shoppers
5887,1,71756,Electronics,910.57,29,3.3,Night,Sunday,265.47,588.02,0.9,5,Premium Deal Seekers
5859,2,78775,Electronics,233.3,25,3.8,Morning,Sunday,990.94,209.97,1.0,2,Discount Hunters
7331,0,48699,Clothing,197.32,56,1.6,Evening,Thursday,812.44,187.45,1.0,1,Price-Sensitive Newcomers
9571,0,46821,Sports,620.73,31,2.4,Night,Friday,275.24,416.95,1.0,4,Impulse Shoppers
9684,0,40615,Clothing,781.59,66,4.6,Night,Friday,981.91,742.51,1.0,1,Price-Sensitive Newcomers
8208,3,23746,Toys,571.1,2,3.3,Night,Sunday,25.37,308.8,0.9,3,Loyal Premium Buyers
6276,1,96457,Clothing,237.5,87,1.9,Evening,Sunday,443.52,237.5,0.8,2,Discount Hunters
3062,0,32745,Electronics,47.52,47,1.5,Morning,Tuesday,573.79,45.14,1.0,1,Price-Sensitive Newcomers
1064,3,11245,Sports,622.11,75,3.1,Afternoon,Tuesday,47.21,316.0,0.9,3,Loyal Premium Buyers
9006,2,34853,Sports,139.73,29,3.2,Afternoon,Sunday,169.43,125.76,1.0,5,Premium Deal Seekers
3568,0,37632,Clothing,349.74,99,2.3,Evening,Tuesday,265.55,290.16,1.0,4,Impulse Shoppers
6463,3,22856,Toys,679.03,49,3.5,Evening,Sunday,723.02,658.66,0.9,2,Discount Hunters
3027,0,66893,Electronics,107.04,73,1.3,Morning,Tuesday,940.35,101.69,1.0,1,Price-Sensitive Newcomers
3695,1,80641,Home & Kitchen,135.98,32,1.6,Afternoon,Sunday,628.29,135.98,0.8,2,Discount Hunters
6258,1,78049,Sports,71.05,30,3.2,Night,Friday,567.03,71.05,0.8,2,Discount Hunters
6618,2,68182,Clothing,996.12,15,1.2,Evening,Wednesday,541.39,669.14,1.0,5,Premium Deal Seekers
7736,0,12801,Toys,393.21,62,4.5,Afternoon,Friday,357.2,355.54,1.0,4,Impulse Shoppers
1391,3,89431,Toys,906.74,78,1.6,Night,Wednesday,829.44,840.89,0.9,3,Loyal Premium Buyers
6892,2,49749,Electronics,300.65,17,3.7,Night,Friday,545.36,270.58,1.0,0,Balanced Loyalists
4561,0,83757,Sports,755.67,22,2.6,Morning,Saturday,237.8,458.95,1.0,4,Impulse Shoppers
7184,2,65654,Electronics,226.88,30,2.6,Evening,Friday,145.46,163.48,1.0,5,Premium Deal Seekers
4099,3,81574,Home & Kitchen,503.34,81,4.1,Night,Tuesday,985.66,488.24,0.9,2,Discount Hunters
7278,2,65381,Home & Kitchen,826.37,16,3.0,Evening,Wednesday,27.3,344.2,1.0,5,Premium Deal Seekers
9392,2,68601,Home & Kitchen,818.17,52,3.9,Afternoon,Thursday,934.11,736.35,1.0,0,Balanced Loyalists
4104,2,25082,Toys,796.34,8,3.0,Afternoon,Saturday,226.12,467.43,1.0,5,Premium Deal Seekers
8215,0,24648,Sports,825.5,64,3.4,Evening,Thursday,660.97,701.96,1.0,1,Price-Sensitive Newcomers
3454,3,10364,Electronics,219.36,39,4.0,Night,Saturday,308.52,212.78,0.9,3,Loyal Premium Buyers
9996,1,44568,Electronics,487.39,31,3.4,Night,Thursday,861.21,487.39,0.8,2,Discount Hunters
3731,0,89646,Home & Kitchen,490.02,12,3.5,Afternoon,Tuesday,548.01,465.52,1.0,1,Price-Sensitive Newcomers
9154,1,81494,Sports,891.6,33,4.2,Night,Thursday,149.65,520.62,0.9,5,Premium Deal Seekers
6056,1,84632,Sports,303.92,58,4.8,Night,Sunday,277.14,290.53,0.9,0,Balanced Loyalists
9110,0,17436,Clothing,932.18,12,2.5,Afternoon,Friday,327.12,583.04,1.0,4,Impulse Shoppers
4840,0,96713,Sports,456.29,25,3.3,Morning,Tuesday,887.06,433.48,1.0,1,Price-Sensitive Newcomers
2028,3,36754,Sports,673.09,38,1.3,Afternoon,Sunday,769.07,652.9,0.9,3,Loyal Premium Buyers
8385,3,70194,Electronics,276.19,48,2.4,Evening,Thursday,831.29,267.9,0.9,2,Discount Hunters
1502,2,34544,Sports,416.2,82,2.6,Morning,Tuesday,61.73,197.34,1.0,5,Premium Deal Seekers
7910,1,70180,Sports,712.7,83,4.3,Evening,Friday,582.99,647.85,0.9,0,Balanced Loyalists
7938,3,73295,Electronics,517.62,55,3.1,Morning,Tuesday,999.19,502.09,0.9,2,Discount Hunters
5488,2,22638,Sports,931.4,3,3.9,Morning,Thursday,787.35,808.15,1.0,0,Balanced Loyalists
1206,3,75715,Electronics,739.75,99,1.1,Afternoon,Tuesday,129.5,412.43,0.9,3,Loyal Premium Buyers
6134,0,79409,Clothing,568.76,69,2.9,Afternoon,Saturday,682.03,540.32,1.0,1,Price-Sensitive Newcomers
6977,3,93106,Toys,887.8,35,4.6,Evening,Monday,747.87,791.2,0.9,2,Discount Hunters
8721,1,27157,Electronics,668.9,51,1.9,Afternoon,Thursday,519.11,594.0,0.9,0,Balanced Loyalists
8035,3,55565,Electronics,650.85,27,1.1,Morning,Friday,87.97,349.88,0.9,3,Loyal Premium Buyers
2484,1,79996,Sports,253.91,37,2.7,Afternoon,Wednesday,44.34,149.12,0.9,5,Premium Deal Seekers
8858,0,75888,Electronics,400.91,85,3.8,Evening,Tuesday,938.43,380.86,1.0,1,Price-Sensitive Newcomers
1863,1,66095,Home & Kitchen,686.47,16,2.8,Morning,Saturday,264.94,475.71,0.9,5,Premium Deal Seekers
3790,3,74947,Home & Kitchen,892.87,92,2.8,Evening,Tuesday,385.18,612.24,0.9,3,Loyal Premium Buyers
8408,2,97122,Clothing,322.39,25,3.7,Night,Thursday,797.32,290.15,1.0,0,Balanced Loyalists
9755,0,80880,Electronics,223.33,33,2.0,Afternoon,Saturday,692.37,212.16,1.0,1,Price-Sensitive Newcomers
6116,3,14507,Sports,597.76,62,4.0,Morning,Thursday,968.88,579.83,0.9,2,Discount Hunters
7019,0,53988,Sports,76.53,17,1.6,Evening,Monday,101.91,72.7,1.0,4,Impulse Shoppers
2757,0,26865,Toys,717.4,43,2.6,Afternoon,Friday,709.85,677.75,1.0,1,Price-Sensitive Newcomers
8574,3,37213,Clothing,706.11,30,3.6,Afternoon,Saturday,91.41,377.58,0.9,3,Loyal Premium Buyers
7374,3,65954,Sports,361.42,41,4.3,Evening,Saturday,10.16,174.95,0.9,3,Loyal Premium Buyers
7892,2,67450,Toys,893.75,4,4.2,Morning,Tuesday,129.03,462.23,1.0,5,Premium Deal Seekers
2678,0,14477,Sports,507.16,66,3.9,Evening,Tuesday,620.56,481.8,1.0,1,Price-Sensitive Newcomers
4242,0,72222,Toys,649.31,60,2.4,Afternoon,Wednesday,679.43,616.84,1.0,1,Price-Sensitive Newcomers
5636,3,16533,Home & Kitchen,217.48,9,1.5,Evening,Sunday,443.96,221.5,0.6,6,Passive Loyalists
2059,1,59395,Home & Kitchen,423.17,31,1.9,Night,Saturday,55.61,239.39,0.9,5,Premium Deal Seekers
7668,3,33396,Sports,863.79,89,4.5,Afternoon,Tuesday,637.72,724.84,0.9,3,Loyal Premium Buyers
4157,0,22755,Clothing,220.81,69,4.4,Morning,Tuesday,94.96,146.84,1.0,4,Impulse Shoppers
6915,3,10865,Electronics,396.67,24,4.8,Night,Sunday,150.31,261.59,0.9,3,Loyal Premium Buyers
3693,2,21173,Clothing,324.9,24,1.3,Evening,Monday,517.45,292.41,1.0,0,Balanced Loyalists
4627,1,68905,Clothing,159.6,93,3.1,Morning,Wednesday,346.97,159.6,0.8,2,Discount Hunters
6450,3,48097,Electronics,296.82,45,3.6,Night,Sunday,470.11,287.92,0.9,3,Loyal Premium Buyers
2663,2,43371,Home & Kitchen,240.44,95,3.8,Evening,Tuesday,638.73,216.4,1.0,0,Balanced Loyalists
6592,0,21254,Home & Kitchen,924.36,37,3.6,Night,Tuesday,168.41,500.17,1.0,4,Impulse Shoppers
8392,3,14018,Electronics,743.67,58,4.1,Afternoon,Friday,894.16,721.36,0.9,2,Discount Hunters
2306,0,15192,Toys,322.94,83,2.4,Morning,Saturday,563.89,306.79,1.0,1,Price-Sensitive Newcomers
7776,2,12015,Clothing,765.71,23,1.7,Night,Tuesday,31.87,322.22,1.0,5,Premium Deal Seekers
6864,0,78916,Sports,31.92,35,1.8,Afternoon,Monday,632.17,30.32,1.0,1,Price-Sensitive Newcomers
8526,2,38343,Home & Kitchen,531.26,63,1.0,Evening,Tuesday,468.55,446.78,1.0,5,Premium Deal Seekers
9901,2,79306,Sports,257.83,6,2.4,Afternoon,Saturday,704.62,243.65,1.0,0,Balanced Loyalists
6575,2,15829,Electronics,123.18,6,1.4,Evening,Tuesday,786.19,116.41,1.0,0,Balanced Loyalists
6530,3,44381,Sports,884.92,30,2.3,Morning,Sunday,939.46,858.37,0.9,2,Discount Hunters
5413,0,91081,Sports,207.35,1,3.5,Afternoon,Thursday,998.36,206.83,1.0,1,Price-Sensitive Newcomers
4748,0,28263,Clothing,824.17,63,4.6,Afternoon,Tuesday,554.12,647.94,1.0,4,Impulse Shoppers
1663,1,63260,Electronics,419.09,8,4.4,Evening,Wednesday,565.89,440.04,0.6,6,Passive Loyalists
2998,1,53306,Sports,24.15,28,2.0,Night,Saturday,32.22,24.15,0.8,3,Loyal Premium Buyers
8994,1,68418,Home & Kitchen,735.21,89,1.5,Evening,Saturday,866.52,735.21,0.8,2,Discount Hunters
2495,1,10148,Electronics,600.4,33,1.8,Night,Thursday,38.43,319.41,0.9,5,Premium Deal Seekers
4304,0,11754,Home & Kitchen,350.73,53,4.9,Evening,Wednesday,636.34,333.19,1.0,1,Price-Sensitive Newcomers
4763,2,36745,Toys,288.73,38,3.2,Morning,Wednesday,107.59,169.29,1.0,5,Premium Deal Seekers
6232,2,82914,Sports,82.95,52,1.7,Night,Saturday,292.98,74.66,1.0,5,Premium Deal Seekers
2853,3,65833,Electronics,942.01,78,4.4,Afternoon,Monday,148.93,517.21,0.9,3,Loyal Premium Buyers
7585,2,30140,Home & Kitchen,499.05,11,2.6,Night,Tuesday,146.02,272.63,1.0,5,Premium Deal Seekers
2291,0,84907,Sports,94.67,2,4.6,Evening,Wednesday,83.85,89.02,1.0,4,Impulse Shoppers
4581,0,70653,Clothing,869.99,53,2.0,Evening,Tuesday,324.7,553.85,1.0,4,Impulse Shoppers
8554,0,71521,Home & Kitchen,286.04,94,2.6,Night,Tuesday,429.41,271.74,1.0,1,Price-Sensitive Newcomers
8280,3,88315,Home & Kitchen,211.57,94,3.0,Afternoon,Sunday,469.83,205.22,0.9,3,Loyal Premium Buyers
2636,1,41075,Toys,288.13,68,4.6,Morning,Monday,445.31,288.13,0.8,2,Discount Hunters
4696,2,40697,Clothing,568.93,77,4.5,Afternoon,Monday,528.46,491.8,1.0,0,Balanced Loyalists
1698,0,64544,Toys,83.32,7,3.3,Night,Wednesday,861.19,83.11,1.0,1,Price-Sensitive Newcomers
5737,0,19795,Clothing,486.94,67,1.9,Evening,Wednesday,635.48,462.59,1.0,1,Price-Sensitive Newcomers
1854,1,74555,Home & Kitchen,896.79,9,2.6,Afternoon,Saturday,27.11,506.79,0.9,5,Premium Deal Seekers
9164,0,62204,Toys,196.29,78,4.9,Evening,Sunday,181.22,178.94,1.0,4,Impulse Shoppers
6855,2,79754,Sports,337.88,63,3.4,Evening,Sunday,355.46,304.09,1.0,5,Premium Deal Seekers
8392,3,74860,Clothing,402.16,11,4.1,Afternoon,Thursday,949.55,390.1,0.9,2,Discount Hunters
7528,0,61529,Home & Kitchen,590.36,37,2.8,Night,Tuesday,87.3,309.31,1.0,4,Impulse Shoppers
6249,2,21672,Electronics,920.06,14,3.1,Afternoon,Saturday,713.02,724.53,1.0,0,Balanced Loyalists
6172,0,64238,Clothing,400.59,19,2.7,Morning,Tuesday,42.76,201.65,1.0,4,Impulse Shoppers
2707,1,45950,Clothing,78.46,8,3.8,Evening,Monday,368.91,82.38,0.6,6,Passive Loyalists
6791,0,21009,Sports,354.47,7,4.4,Evening,Monday,772.45,353.58,1.0,1,Price-Sensitive Newcomers
6535,0,57096,Clothing,198.18,59,3.0,Night,Sunday,350.49,188.27,1.0,4,Impulse Shoppers
5931,3,29544,Clothing,655.26,63,2.9,Evening,Saturday,435.98,525.96,0.9,3,Loyal Premium Buyers
4510,1,65728,Sports,38.97,7,2.4,Evening,Wednesday,906.25,40.92,0.6,6,Passive Loyalists
1202,1,39381,Sports,299.01,55,1.7,Evening,Thursday,75.51,187.26,0.9,5,Premium Deal Seekers
5218,3,35287,Toys,549.72,3,4.8,Afternoon,Sunday,532.39,551.22,0.6,6,Passive Loyalists
9958,0,74610,Home & Kitchen,284.56,67,2.3,Evening,Thursday,372.58,270.33,1.0,4,Impulse Shoppers
5389,2,78122,Home & Kitchen,555.49,18,4.2,Afternoon,Monday,964.17,499.94,1.0,0,Balanced Loyalists
3327,1,78184,Toys,123.57,45,3.9,Night,Monday,795.75,123.57,0.8,2,Discount Hunters
9004,1,50081,Home & Kitchen,943.38,97,4.2,Morning,Thursday,130.86,537.12,0.9,5,Premium Deal Seekers
3931,0,93637,Clothing,298.0,92,4.7,Evening,Thursday,928.14,283.1,1.0,1,Price-Sensitive Newcomers
8777,0,55312,Toys,923.77,36,3.5,Morning,Wednesday,219.1,525.25,1.0,4,Impulse Shoppers
1197,1,97228,Toys,332.58,16,4.6,Afternoon,Thursday,93.97,213.27,0.9,5,Premium Deal Seekers
8125,0,82943,Home & Kitchen,784.02,79,1.7,Night,Tuesday,546.18,625.9,1.0,4,Impulse Shoppers
2930,2,92790,Electronics,253.73,29,3.5,Night,Thursday,739.27,228.36,1.0,0,Balanced Loyalists
7287,1,90770,Home & Kitchen,673.07,59,4.1,Afternoon,Friday,718.89,673.07,0.8,2,Discount Hunters
9800,2,62726,Electronics,330.48,18,2.1,Morning,Thursday,538.72,297.43,1.0,0,Balanced Loyalists
5282,2,32211,Toys,514.07,49,4.0,Evening,Monday,497.81,454.53,1.0,0,Balanced Loyalists
3511,0,39480,Electronics,677.08,46,4.1,Afternoon,Monday,969.85,643.23,1.0,1,Price-Sensitive Newcomers
1659,2,57780,Clothing,592.99,83,4.3,Afternoon,Sunday,822.35,533.69,1.0,0,Balanced Loyalists
3811,0,67138,Sports,580.52,29,2.3,Afternoon,Friday,701.65,551.49,1.0,1,Price-Sensitive Newcomers
8098,3,52503,Electronics,75.02,70,3.7,Afternoon,Tuesday,203.26,72.77,0.9,3,Loyal Premium Buyers
7546,0,67893,Sports,256.59,50,2.2,Afternoon,Thursday,821.57,243.76,1.0,1,Price-Sensitive Newcomers
2986,2,56193,Clothing,576.12,55,4.0,Night,Thursday,752.28,518.51,1.0,0,Balanced Loyalists
9338,3,71358,Sports,28.13,27,2.9,Afternoon,Friday,992.11,27.29,0.9,2,Discount Hunters
3911,0,90857,Clothing,258.14,7,3.4,Night,Sunday,141.67,199.26,1.0,4,Impulse Shoppers
2734,2,88182,Sports,236.89,91,2.7,Morning,Wednesday,718.14,213.2,1.0,0,Balanced Loyalists
2843,1,32117,Sports,257.36,83,1.6,Evening,Wednesday,979.29,257.36,0.8,2,Discount Hunters
9680,1,69056,Home & Kitchen,540.25,81,1.7,Night,Sunday,467.97,504.11,0.9,0,Balanced Loyalists
3976,0,68706,Electronics,586.14,41,1.3,Evening,Tuesday,736.08,556.83,1.0,1,Price-Sensitive Newcomers
2959,0,80429,Sports,909.91,11,3.5,Evening,Thursday,975.62,864.41,1.0,1,Price-Sensitive Newcomers
6759,1,19476,Toys,392.17,5,4.4,Evening,Thursday,552.01,411.78,0.6,6,Passive Loyalists
7694,2,92806,Home & Kitchen,927.31,66,1.1,Night,Thursday,702.05,721.95,1.0,5,Premium Deal Seekers
3385,2,65006,Electronics,655.43,56,1.3,Night,Sunday,29.88,277.11,1.0,5,Premium Deal Seekers
5736,2,97238,Home & Kitchen,913.53,12,2.8,Night,Monday,524.47,627.65,1.0,5,Premium Deal Seekers
2802,0,79918,Electronics,835.14,42,4.0,Morning,Saturday,263.24,507.43,1.0,4,Impulse Shoppers
9155,3,73155,Clothing,690.71,75,1.6,Night,Wednesday,139.93,394.6,0.9,3,Loyal Premium Buyers
9120,3,77321,Sports,362.54,10,2.1,Morning,Sunday,711.51,351.66,0.9,2,Discount Hunters
7616,3,55798,Toys,248.7,28,1.9,Night,Saturday,48.7,141.24,0.9,3,Loyal Premium Buyers
6534,3,87271,Home & Kitchen,230.17,7,2.6,Night,Friday,905.82,234.43,0.6,6,Passive Loyalists
5061,3,40177,Home & Kitchen,952.65,14,1.9,Evening,Saturday,522.6,709.05,0.9,3,Loyal Premium Buyers
1262,0,92215,Home & Kitchen,958.99,77,2.4,Afternoon,Monday,651.75,757.42,1.0,4,Impulse Shoppers
7287,0,53013,Home & Kitchen,727.58,69,3.9,Evening,Monday,260.9,457.86,1.0,4,Impulse Shoppers
9815,3,92600,Sports,884.96,61,3.4,Night,Wednesday,190.37,511.12,0.9,3,Loyal Premium Buyers
3049,0,63450,Electronics,919.81,51,1.3,Afternoon,Thursday,251.32,539.57,1.0,4,Impulse Shoppers
6423,0,57928,Sports,516.44,42,3.6,Afternoon,Tuesday,239.97,352.38,1.0,4,Impulse Shoppers
5548,3,55382,Clothing,632.77,8,2.9,Morning,Saturday,865.86,644.48,0.6,6,Passive Loyalists
4108,2,95038,Sports,424.57,50,4.7,Afternoon,Sunday,789.47,382.11,1.0,0,Balanced Loyalists
8158,0,10760,Sports,424.31,1,2.2,Morning,Sunday,854.21,423.25,1.0,1,Price-Sensitive Newcomers
8400,2,34142,Clothing,48.04,69,3.9,Evening,Friday,737.52,43.24,1.0,2,Discount Hunters
4170,0,27290,Sports,439.48,11,3.9,Morning,Wednesday,647.11,417.51,1.0,1,Price-Sensitive Newcomers
3255,0,81035,Electronics,676.75,48,1.9,Night,Tuesday,532.6,570.84,1.0,4,Impulse Shoppers
2154,3,10364,Toys,427.76,10,4.6,Afternoon,Wednesday,272.83,337.46,0.9,3,Loyal Premium Buyers
5499,0,66921,Clothing,873.69,15,3.0,Night,Wednesday,708.31,747.32,1.0,1,Price-Sensitive Newcomers
7295,1,29797,Home & Kitchen,339.24,47,3.7,Afternoon,Wednesday,145.22,242.23,0.9,5,Premium Deal Seekers
7197,1,42535,Electronics,141.36,93,1.6,Afternoon,Wednesday,515.95,141.36,0.8,2,Discount Hunters
2648,3,56300,Toys,813.44,25,2.0,Evening,Thursday,203.32,483.98,0.9,3,Loyal Premium Buyers
6539,2,57176,Electronics,677.21,6,3.3,Morning,Sunday,509.71,556.21,1.0,5,Premium Deal Seekers
5199,2,26105,Electronics,249.4,11,2.3,Evening,Monday,300.97,224.46,1.0,5,Premium Deal Seekers
9445,2,17939,Home & Kitchen,541.09,17,3.0,Morning,Sunday,62.94,247.91,1.0,5,Premium Deal Seekers
3557,1,89472,Toys,407.83,15,2.5,Evening,Sunday,508.67,407.83,0.8,2,Discount Hunters
6592,2,52029,Electronics,939.47,16,3.6,Evening,Saturday,190.01,470.79,1.0,5,Premium Deal Seekers
1098,2,25863,Home & Kitchen,611.26,56,2.9,Afternoon,Wednesday,169.54,329.27,1.0,5,Premium Deal Seekers
3200,3,88097,Clothing,166.81,66,1.0,Evening,Tuesday,390.52,161.81,0.9,3,Loyal Premium Buyers
3961,2,20447,Home & Kitchen,507.13,36,3.6,Evening,Saturday,368.17,386.94,1.0,5,Premium Deal Seekers
